size class,initial total  prey density,median predators ,number tadpoles eaten,replicate block
1,6,1,2,1
1,6,1,0,2
1,6,1,1,3
1,6,1,0,4
1,6,1,1,5
1,6,1,0,6
3,6,1,0,1
3,6,1,1,2
3,6,1,0,3
3,6,1,0,4
3,6,1,0,5
3,6,1,1,6
5,6,1,0,1
5,6,1,0,2
5,6,1,0,3
5,6,1,0,4
5,6,1,1,5
5,6,1,0,6
1,9,1,2,1
1,9,1,3,2
1,9,1,0,5
1,9,1,0,6
3,9,1,1,1
3,9,1,0,2
3,9,1,0,5
3,9,1,0,6
5,9,1,0,1
5,9,1,1,2
5,9,1,0,5
5,9,1,0,6
1,18,1,2,1
1,18,1,0,2
1,18,1,2,3
1,18,1,2,4
1,18,1,2,5
1,18,1,0,6
3,18,1,2,1
3,18,1,2,2
3,18,1,1,3
3,18,1,1,4
3,18,1,2,5
3,18,1,1,6
5,18,1,0,1
5,18,1,1,2
5,18,1,0,3
5,18,1,0,4
5,18,1,0,5
5,18,1,0,6
1,27,1,7,1
1,27,1,0,2
3,27,1,1,1
3,27,1,3,2
5,27,1,0,1
5,27,1,1,2
1,66,1,13,1
1,66,1,4,2
1,66,1,5,3
1,66,1,5,4
1,66,1,1,5
1,66,1,4,6
3,66,1,5,1
3,66,1,3,2
3,66,1,3,3
3,66,1,5,4
3,66,1,10,5
3,66,1,4,6
5,66,1,0,1
5,66,1,2,2
5,66,1,4,3
5,66,1,0,4
5,66,1,3,5
5,66,1,2,6
1,6,1,3,1
1,6,1,0,2
1,6,1,1,3
1,6,0.5,3,4
1,6,1,1,5
1,6,1,0,6
3,6,1,1,1
3,6,1,2,2
3,6,1,2,3
3,6,1,2,4
3,6,1,3,5
3,6,1,0,6
5,6,1,0,1
5,6,1,0,2
5,6,1,0,3
5,6,1,0,4
5,6,1,0,5
5,6,1,0,6
3,9,1,2,1
3,9,1,2,3
3,9,1,2,4
3,9,1,2,5
3,9,1,2,6
3,9,1,3,2
1,18,1,9,1
1,18,1,1,3
1,18,1,3,4
1,18,1,2,5
1,18,1,11,6
2,18,1,4,1
2,18,1,2,2
2,18,1,1,3
1,18,1,1,2
2,18,1,1,4
2,18,1,3,5
2,18,1,0,6
3,18,0.5,4,1
3,18,1,3,3
3,18,1,4,4
3,18,1,4,5
3,18,1,4,6
4,18,1,0,1
4,18,1,2,3
4,18,1,3,4
4,18,1,2,5
4,18,1,2,6
5,18,1,0,1
4,18,1,0,2
5,18,1,2,1
5,18,1,3,2
5,18,1,1,3
5,18,1,0,4
5,18,1,1,5
5,18,1,0,6
3,27,1,3,2
3,27,1,7,3
3,27,1,5,4
3,27,1,8,5
3,27,1,2,6
1,66,1,37,1
1,66,1,18,3
1,66,1,18,4
1,66,1,24,5
1,66,1,11,6
3,66,1,14,1
1,66,1,20,2
3,66,1,7,2
3,66,1,17,3
3,66,1,20,4
3,66,1,16,5
3,66,1,6,6
5,66,1,0,1
5,66,1,5,2
5,66,1,1,3
5,66,1,2,4
5,66,1,4,5
5,66,1,0,6
3,81,1,16,3
3,81,1,11,4
3,81,1,25,5
1,99,1,41,3
1,99,1,38,4
1,99,1,19,5
1,99,1,24,6
3,99,1,26,3
3,99,1,22,4
3,99,1,12,5
3,99,1,26,6
5,99,1,4,3
5,99,1,5,4
5,99,1,9,5
5,99,1,1,6
1,6,1.5,1,1
1,6,3,2,2
1,6,2,2,3
1,6,3,0,4
1,6,2,0,5
1,6,2.5,1,6
3,6,1.5,1,1
3,6,3,2,2
3,6,2,1,3
3,6,3,1,4
3,6,2,0,5
3,6,2.5,0,6
5,6,1.5,0,1
5,6,3,0,2
5,6,2,0,3
5,6,3,0,4
5,6,2,1,5
5,6,2.5,0,6
1,9,2,1,1
1,9,3,2,2
1,9,2.5,1,5
1,9,3,2,6
3,9,2,1,1
3,9,3,3,2
3,9,2.5,1,5
3,9,3,0,6
5,9,2,0,1
5,9,3,0,2
5,9,2.5,0,5
5,9,3,0,6
1,18,2.5,5,1
1,18,3,4,2
